Name,Taxa,Family,Location,Env,Yield,TSTWT,Protein,Height,DTH
DHARWAR_57,EA_51,DHARWAR,Spillman,2014,2.211564667,58.60265933,13.44899867,32.83318667,175.7896427
DHARWAR_58,EA_52,DHARWAR,Spillman,2014,1.847964667,57.36595933,13.44099867,35.09318667,175.7926427
DHARWAR_59,EA_53,DHARWAR,Spillman,2014,2.414364667,56.56595933,12.64099867,35.09318667,177.7926427
DHARWAR_60,EA_54,DHARWAR,Spillman,2014,1.990734667,56.16595933,13.24099867,35.09318667,177.7926427
DHARWAR_61,EA_55,DHARWAR,Spillman,2014,1.730064667,56.16595933,13.84139867,33.09318667,175.7926427
DHARWAR_62,EA_56,DHARWAR,Spillman,2014,1.842864667,57.96595933,12.74099867,31.09618667,175.7926427
DHARWAR_63,EA_57,DHARWAR,Spillman,2014,2.302164667,59.56565933,13.04099867,32.09318667,179.7926427
DHARWAR_64,EA_58,DHARWAR,Spillman,2014,1.788864667,58.56565933,12.74099867,32.09318667,175.7926427
DHARWAR_65,EA_59,DHARWAR,Spillman,2014,1.917864667,59.16565933,11.54099867,36.09318667,176.7926427
DHARWAR_66,EA_60,DHARWAR,Spillman,2014,1.848264667,58.56565933,13.14099867,33.09318667,175.7926427
DHARWAR_67,EA_61,DHARWAR,Spillman,2014,1.767864667,57.96595933,13.04099867,36.09318667,174.7926427
DHARWAR_68,EA_62,DHARWAR,Spillman,2014,1.872864667,57.46595933,13.34099867,36.09318667,175.7926427
DHARWAR_70,EA_63,DHARWAR,Spillman,2014,1.922364667,56.96598933,13.84139867,35.09318667,177.7926427
DHARWAR_71,EA_64,DHARWAR,Spillman,2014,1.932864667,57.96595933,14.04139867,36.09318667,176.7926427
DHARWAR_72,EA_65,DHARWAR,Spillman,2014,2.026134667,53.16565933,13.24099867,31.09618667,176.7926427
DHARWAR_73,EA_66,DHARWAR,Spillman,2014,2.082534667,58.56565933,13.14099867,34.09318667,177.7926427
DHARWAR_74,EA_67,DHARWAR,Spillman,2014,2.038434667,55.96565933,13.94139867,39.09318667,179.7926427
DHARWAR_76,EA_68,DHARWAR,Spillman,2014,2.052834667,57.06598933,13.54099867,38.09318667,177.7926427
DHARWAR_77,EA_69,DHARWAR,Spillman,2014,1.744764667,56.16595933,13.44099867,37.09318667,178.7926427
DHARWAR_78,EA_70,DHARWAR,Spillman,2014,2.213064667,57.56595933,13.94139867,36.09318667,178.7926427
DHARWAR_79,EA_71,DHARWAR,Spillman,2014,2.223564667,59.16565933,13.04099867,36.09318667,179.7926427
DHARWAR_80,EA_72,DHARWAR,Spillman,2014,1.618164667,55.16565933,13.04099867,37.09318667,178.7926427
DHARWAR_81,EA_73,DHARWAR,Spillman,2014,1.942764667,58.16565933,12.94099867,35.09318667,177.7926427
DHARWAR_82,EA_74,DHARWAR,Spillman,2014,1.863264667,58.16565933,13.74139867,40.09318667,177.7926427
DHARWAR_83,EA_75,DHARWAR,Spillman,2014,1.974534667,56.16595933,13.94139867,34.09318667,177.7926427
